"","exercise_time","milk_ml","parents_height","height"
"188",197,0.564590434776619,175.568247912643,141.831272774665
"190",199,0.901874389499426,163.436789351294,141.230689529184
"137",146,0.821805460145697,167.802213192212,130.167602255831
"139",148,0.979821917368099,176.538034149692,131.296055028477
"43",52,0.413724326295778,167.158602916617,109.407069897669
"115",124,0.720596273429692,175.531906610249,124.81632763241
"158",167,0.216892762808129,173.45036164019,134.334403983582
"189",198,0.913188223028556,147.899768175143,140.659413133307
"55",64,0.560947983758524,187.314624989049,113.465874570631
"193",202,0.985640884377062,176.078007516072,142.925160348508
"162",171,0.353904571849853,170.175860857698,134.205595947451
"57",66,0.127531650243327,173.608314183027,113.941533843561
"126",135,0.984219203470275,190.675214056695,128.437656822243
"38",47,0.216407935833558,159.33417760932,110.442918621044
"84",93,0.788195834029466,168.453101868514,118.837961304988
"63",72,0.383969637798145,179.558342899454,113.677402248159
"174",183,0.746568004135042,182.137737111164,136.24992085599
"78",87,0.612771003274247,167.635471574222,118.568360154027
"70",79,0.439831687603146,178.911552052893,116.784728890029
"146",155,0.231161782052368,164.604906268212,133.225988316552
"130",139,0.690007101511583,166.618755674372,127.750417363513
"120",129,0.404510281747207,175.187302253845,125.081598672128
"75",84,0.475316574098542,164.892935313866,116.724107107465
"21",30,0.889539316063747,160.967260930759,107.363001639589
"87",96,0.984956979984418,165.816766783987,121.688860061692
"72",81,0.629221131559461,170.166646201924,117.146202617709
"59",68,0.895045359153301,169.132028605406,115.8300368895
"165",174,0.355445380788296,179.593482636944,137.590702506935
"81",90,0.243619472719729,161.775741108457,117.277741127836
"192",201,0.321482756407931,181.662323269378,141.704256882348
"134",143,0.737077737925574,175.910871649147,128.893381128356
"168",177,0.221102937823161,179.166411546754,133.953016717395
"6",15,0.0455564993899316,162.426518521337,103.018751374337
"128",137,0.0910439998842776,160.769037156501,126.810243438264
"111",120,0.935299803270027,157.057866986928,125.428664961006
"156",165,0.389994435245171,178.602054730194,133.457427097204
"32",41,0.902299045119435,179.9312545676,109.914722716246
"49",58,0.265972640365362,168.537488154133,114.072470637037
"186",195,0.481289800489321,173.588598555999,139.807844366054
"47",56,0.233034099452198,140.736520295501,110.064492154237
"148",157,0.0766911653336138,168.745259012081,130.147526927646
"180",189,0.581750099780038,175.65115088216,138.639125122518
"112",121,0.301228899974376,171.618097257639,124.865407889563
"119",128,0.585483353119344,168.635639062695,125.183403575484
"195",204,0.937314089154825,171.602967275197,144.11472245511
"10",19,0.456614735303447,186.125901059706,105.358257238486
"173",182,0.86364411143586,178.963904318076,138.293411185427
"184",193,0.265017806086689,165.996017840572,138.705373303243
"163",172,0.64998515881598,168.963475627125,135.357133655104
"135",144,0.521135725779459,174.74076916619,128.955201326328
"61",70,0.665115194628015,165.029014378838,115.983872738059
"108",117,0.608734982321039,183.9354204515,123.65761170779
"36",45,0.477795971091837,159.287644483158,110.800251572943
"117",126,0.549284656066447,176.658815672259,125.527835301588
"23",32,0.640506813768297,178.079298605965,106.806152095575
"154",163,0.246448994148523,172.567440745477,133.035525238947
"88",97,0.893051114398986,175.920952938517,120.735008852356
"132",141,0.891394117148593,182.319294918166,129.357632170042
"48",57,0.465962450252846,176.294901059652,112.74026420333
"131",140,0.619256483390927,153.485448874045,130.82225304224
"33",42,0.690705278422683,165.538461014829,109.408220311785
"66",75,0.448516341391951,173.879933125269,115.926150469489
"64",73,0.27438364457339,155.145527511639,118.225177037345
"20",29,0.954503649147227,160.596814811709,106.112176318201
"183",192,0.70829032221809,172.635538187847,139.777633019455
"95",104,0.320373242488131,170.940000061325,119.937721006155
"123",132,0.307720010867342,165.688717355493,127.940656154144
"86",95,0.434892741497606,172.519671094501,119.411673943748
"149",158,0.245723678031936,143.54836301638,131.279243713971
"46",55,0.13880606344901,167.227526220763,110.663421966658
"24",33,0.994269776623696,172.535327345955,107.735885495075
"60",69,0.374462775886059,176.796925193458,113.949667028473
"30",39,0.147113647311926,182.684501805186,107.934651020113
"181",190,0.839767764788121,159.430868848016,137.508199773118
"101",110,0.59998895926401,160.533451794749,125.038794891853
"96",105,0.187691119266674,167.620057393746,123.259980951721
"17",26,0.24608773435466,149.366320127014,105.650199022245
"90",99,0.175052650272846,188.997613084462,119.54578169321
"153",162,0.387909029843286,162.115047546527,132.599155407652
"121",130,0.64789347932674,172.88127531628,126.333077391759
"191",200,0.274166621500626,185.302041633244,141.55221714317
"196",205,0.466532702324912,171.564950404418,141.719846654185
"127",136,0.154202300822362,174.472484163093,126.711286757471
"170",179,0.265686686849222,177.093002289367,136.261168584662
"100",109,0.511505459900945,150.564582737247,121.330627559264
"45",54,0.152444747742265,157.034095695378,109.411886473265
"8",17,0.892419044394046,165.683731108327,102.981444725564
"79",88,0.351797909243032,161.852937119051,118.52904055185
"160",169,0.21799066872336,170.117686957532,132.572284933322
"109",118,0.410689776530489,184.481625858186,125.825873154479
"67",76,0.810064353048801,171.030200437446,116.970659768302
"39",48,0.318181007634848,157.613170345219,111.954556979906
"140",149,0.439431536244228,172.134289049189,129.633667663687
"187",196,0.26503273146227,171.522497437998,139.792065292608
"147",156,0.239099955651909,160.686668054768,131.433765052584
"28",37,0.59414202044718,167.438262016655,108.30975967819
"106",115,0.890350222121924,162.688576556208,123.770243416355
"172",181,0.183828490786254,162.91841538634,137.419887855585
"176",185,0.618017873261124,154.889615117586,137.418667806138
"53",62,0.798924845643342,165.985337602187,113.850697362851
